                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.1179,                 0.6725,                 0.9893,                0.98461,                0.99274,                0.99266,                0.61052,                 1.2244,                0.69978,                0.88462,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.1064,                 0.6942,                0.97784,                0.98248,                0.97722,                0.99086,                0.61669,                 1.1902,                0.70015,                0.88383,             0.00049529,             0.00049529,             0.00049529
                     69,                  1.106,                0.68578,                0.98813,                0.97569,                0.98014,                0.99176,                0.59859,                 1.2431,                0.70291,                0.89069,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.0933,                0.68317,                0.97593,                0.98016,                0.98191,                0.99127,                0.60329,                 1.1977,                0.69299,                0.88957,               0.000467,               0.000467,               0.000467
                     71,                  1.073,                0.67203,                0.96639,                0.98794,                0.99117,                0.98677,                 0.5963,                 1.2304,                0.69523,                0.89258,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.0615,                0.65149,                 0.9611,                0.99251,                0.99069,                0.98996,                 0.6067,                 1.2212,                0.69569,                0.88441,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.0687,                0.66965,                0.97254,                0.99426,                0.97696,                0.99224,                0.61649,                 1.2328,                0.65762,                0.89021,             0.00042456,             0.00042456,             0.00042456
                     74,                  1.069,                0.65194,                0.96731,                0.98014,                0.97747,                0.99016,                0.60444,                 1.2049,                0.68416,                 0.8836,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.0613,                0.65803,                0.96994,                0.99419,                0.98264,                0.99213,                0.62116,                  1.203,                0.66974,                0.88249,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.0761,                0.64648,                0.97275,                0.99069,                0.98042,                0.99285,                0.60394,                  1.236,                0.65981,                0.88939,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.0722,                0.63913,                0.97229,                0.97904,                0.98358,                0.98867,                0.59997,                 1.2338,                0.66839,                0.90226,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.0473,                0.63942,                0.96457,                0.99732,                0.97332,                0.99279,                0.61812,                 1.2062,                0.67191,                 0.8799,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.0572,                0.63491,                0.96137,                0.96464,                0.96679,                0.98615,                0.60011,                 1.2375,                0.66119,                0.88542,             0.00033967,             0.00033967,             0.00033967
                     80,                   1.06,                 0.6248,                0.97349,                0.99103,                0.97009,                0.99298,                0.62781,                  1.223,                0.65179,                0.88564,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.0517,                0.64953,                0.96615,                0.98778,                0.97314,                0.99221,                0.61195,                 1.2117,                0.68224,                 0.8852,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.0378,                0.63716,                0.96004,                0.99244,                0.97052,                 0.9925,                0.61489,                 1.1908,                 0.6797,                0.88273,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.0223,                0.61872,                0.96011,                0.99537,                0.97587,                0.99235,                0.61064,                 1.2248,                0.68576,                0.88549,             0.00028308,             0.00028308,             0.00028308
                     84,                  1.034,                0.61954,                0.96056,                0.98652,                0.97278,                0.99281,                0.61295,                 1.2118,                0.67252,                0.88307,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.0105,                0.60829,                0.95373,                0.98438,                 0.9821,                0.98974,                0.61335,                 1.2301,                0.67859,                0.88944,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.0244,                0.62345,                 0.9584,                 0.9821,                 0.9821,                0.99051,                0.61755,                 1.1792,                  0.691,                0.88655,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.0112,                0.61008,                0.95307,                0.97684,                0.96929,                0.99055,                0.61608,                  1.201,                0.67077,                0.88537,              0.0002265,              0.0002265,              0.0002265
                     88,                0.99668,                0.60622,                0.94754,                0.96462,                0.96962,                0.98765,                0.60677,                 1.1875,                0.68093,                0.88624,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.0283,                0.61058,                0.95969,                0.97898,                0.97738,                0.99244,                0.60605,                 1.2143,                0.67873,                0.89345,              0.0001982,              0.0001982,              0.0001982
                     90,                  1.002,                0.59368,                0.95032,                0.98124,                 0.9849,                0.99278,                0.61859,                 1.1856,                0.67021,                0.88587,             0.00018406,             0.00018406,             0.00018406
                     91,                0.99908,                 0.5595,                0.94538,                0.97667,                0.97944,                0.98657,                0.61323,                  1.191,                0.66877,                0.88711,             0.00016991,             0.00016991,             0.00016991
                     92,                0.96274,                0.54958,                0.93286,                0.97576,                0.97347,                0.98674,                0.61382,                 1.1961,                0.66903,                0.88718,             0.00015576,             0.00015576,             0.00015576
                     93,                0.97687,                0.54917,                0.93426,                0.98478,                 0.9821,                0.98986,                0.60853,                 1.2082,                0.67435,                0.89371,             0.00014161,             0.00014161,             0.00014161
                     94,                 0.9629,                0.55351,                0.93729,                0.97939,                0.98075,                0.98862,                0.60805,                 1.2233,                 0.6656,                0.89559,             0.00012747,             0.00012747,             0.00012747
                     95,                0.96616,                0.55229,                0.93772,                0.98114,                0.97284,                0.99116,                0.61501,                 1.2074,                0.65723,                0.89383,             0.00011332,             0.00011332,             0.00011332
                     96,                0.93521,                0.53752,                0.93388,                0.98052,                0.97747,                0.98991,                0.61097,                 1.2111,                0.67386,                0.89053,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.94705,                0.53816,                0.93498,                0.98276,                 0.9776,                0.98723,                0.60411,                 1.2201,                0.68865,                0.89183,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.93655,                 0.5329,                0.92715,                0.99091,                0.97747,                0.98918,                0.61305,                 1.2236,                0.67623,                0.88886,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.91715,                0.52384,                0.92574,                0.98544,                0.97747,                0.99072,                0.61933,                 1.2031,                  0.668,                0.88951,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.92256,                0.52793,                0.92492,                0.97879,                0.98673,                0.98926,                0.61773,                 1.2034,                 0.6682,                0.88652,             4.2584e-05,             4.2584e-05,             4.2584e-05
